ad_id,area,area_sqm,building_type,category,city,currency,detail_url,district,floor,floor_numeric,image_count,listing_date,listing_date_raw,listing_type,location_full,ownership_document,price,price_per_sqm,price_text,property_type,rooms,rooms_numeric,scraped_at,seller_category,seller_type,short_description,source_page,title,total_floors,total_floors_numeric,transaction_type
165411,12,12.0,,Torpaq sahələri,Qəbələ,AZN,https://qarabazar.az/Qebele-Torpaq-Satisi-adv165411.html,,,,,2025-07-24,24 iyul 2025,,Qəbələ,Var,24,2.0,24 azn,land,,,2026-01-01T14:16:41.971314,owner,ƏMLAK sahibi,"* Premium Torpaq Sahəsi – Qəbələ, Hacallı kəndi*

> ✅ *S...",20,Qebele Torpaq Satışı,,,other
165410,,,,"Həyət evləri, Villa",Bakı,AZN,https://qarabazar.az/Merdekanda-bag-evi-satilir-adv165410.html,Mərdəkan,,,18,2025-07-24,24 iyul 2025,,Bakı♦Mərdəkan,Var,395000,,395 000 azn,house,4 otaq,4,2026-01-01T14:16:41.972458,agent,Vasitəçi(makler),"Mərdəkan qəsəbəsi,Əncirni....Buzovna Şüvəlan magistıral yo...",20,Mərdəkanda bağ evi satılır,,,other
165407,420,420.0,Ayrıca tikili,Kiraye / icare obyektler,Bakı,AZN,https://qarabazar.az/ulduzda-420kv-obyekt-icaresi-adv165407.html,metro Ulduz,,,8,2025-07-24,24 iyul 2025,,Bakı♦metro Ulduz,,2500,5.95,2 500 azn,commercial,,,2026-01-01T14:16:41.973744,agent,Vasitəçi(makler),Nərimanov rayonu Ulduz metrosunda 5-6 dəqiqəlik piyada məs...,20,Ulduzda 420kv obyekt icaresi,,,rent
165398,,,,"Həyət evləri, Villa",Bakı,AZN,https://qarabazar.az/Bileceride-4-otaqli-heyet-evi-adv165398.html,Biləcəri,,,16,2025-07-23,23 iyul 2025,,Bakı♦Biləcəri,Yoxdur,110000,,110 000 azn,house,4 otaq,4,2026-01-01T14:16:41.974872,agent,Vasitəçi(makler),Təcili... Biləcəridə Şəxsi tikilmiş Ağ Saraydan 10 dəqiqəl...,20,Biləcəridə 4 otaqlı həyət evi,,,other
165387,,,,"Həyət evləri, Villa",Bakı,AZN,https://qarabazar.az/Buzovnada-14sotda-4-otaqli-bag-evi-satilir-adv165387.html,Buzovna,,,15,2025-07-23,23 iyul 2025,,Bakı♦Buzovna,Var,175000,,175 000 azn,house,4 otaq,4,2026-01-01T14:16:41.976158,agent,Vasitəçi(makler),"TƏCİLİ !!!!!!!
Buzovna qəsəbəsi Vişnovkada, Laçın qaya res...",20,Buzovnada 14sotda 4 otaqlı bağ evi satılır,,,other
165381,30,30.0,,Köhnə tikili bina evləri,Bakı,AZN,https://qarabazar.az/1-otaqli-menzil-kiraye-verilir-adv165381.html,8-ci mikrorayon,5,5,4,2025-07-22,22 iyul 2025,Kiraye ev verirem,Bakı♦8-ci mikrorayon,,300,10.0,300 azn,apartment,1 otaq,1,2026-01-01T14:16:41.977443,owner,ƏMLAK sahibi,1 otaqlı mənzil Ayna Sultanova heykəlinin arxasında kiray...,20,1 otaqlı mənzil kirayə verilir,5,5,other
165372,,,,"Həyət evləri, Villa",Bakı,AZN,https://qarabazar.az/Bineqedide-kreditle-3-otaqli-heyet-evi-adv165372.html,Binəqədi,,,8,2025-07-22,22 iyul 2025,,Bakı♦Binəqədi,Yoxdur,25000,,25 000 azn,house,3 otaq,3,2026-01-01T14:16:41.978732,agent,Vasitəçi(makler),"KREDİT... Binəqədidə Mərkəzə yaxın 1.3 sotda 3 otaq, S/Q v...",20,Binəqədidə kreditlə 3 otaqlı həyət evi,,,other
165371,,,,"Həyət evləri, Villa",Bakı,AZN,https://qarabazar.az/Bineqedide-kreditle-2-otaqli-heyet-evi-adv165371.html,Binəqədi,,,4,2025-07-22,22 iyul 2025,,Bakı♦Binəqədi,Yoxdur,20000,,20 000 azn,house,2 otaq,2,2026-01-01T14:16:41.980014,agent,Vasitəçi(makler),"KREDİT... Binəqədidə DYP yolunda 1.5 sotda 2 otaq, S/Q və ...",20,Binəqədidə kreditlə 2 otaqlı həyət evi,,,other
165367,60,60.0,,Yeni tikili (новостройки),Bakı,AZN,https://qarabazar.az/2-otagli-kiraye-menzil-Yeni-Yasamal-adv165367.html,Yeni Yasamal,8,8,9,2025-07-22,22 iyul 2025,Kiraye ev verirem,Bakı♦Yeni Yasamal,,550,9.17,550 azn,apartment,2 otaq,2,2026-01-01T14:16:41.981301,agent,Vasitəçi(makler),Elani tam oxuyun zeng edin zehmet olmasa fikri ciddi olanl...,20,2 otagli kiraye menzil Yeni Yasamal,20,20,other
165364,15,15.0,,Torpaq sahələri,Bakı,AZN,https://qarabazar.az/Buzovnada-15-sot-torpaq-sahesi-satilir-adv165364.html,Buzovna,,,16,2025-07-22,22 iyul 2025,,Bakı♦Buzovna,Var,195000,13000.0,195 000 azn,land,,,2026-01-01T14:16:41.982605,agent,Vasitəçi(makler),"Təcili!!!!
 Buzovnada kəndin içində Cümə məscidinin yanın...",20,Buzovnada 15 sot torpaq sahəsi satılır,,,other
156676,120,120.0,,Yeni tikili binalar,Bakı,AZN,https://qarabazar.az/3-sot-3-otaqli-heyet-evi-120-kv-m-adv156676.html,Buzovna,1,1,,2025-07-22,22 iyul 2025,,Bakı♦Buzovna,Yoxdur,80000,666.67,80 000 azn,apartment,3 otaq,3,2026-01-01T14:16:41.983782,agent,Vasitəçi(makler),"Ünvan: Buzovna, Xrustalni, Laçınlılar məhləsi, əsas yoldan...",20,3 sot 3 otaqlı həyət evi 120 kv.m,1,1,other
